exporter,sitc,rca
JPN,6645,0.6781864274367374
JPN,6649,0.19594316402069298
JPN,6658,0.3128910790082795
JPN,6671,0.4691394704911732
JPN,6674,0.4125409466950269
JPN,6725,0.15662471752556895
JPN,6727,0.5977254057744341
JPN,6731,0.31246205897583734
JPN,6744,0.46163059568204623
JPN,6745,0.5450621229999326
JPN,6746,0.41363476754899153
JPN,6747,0.3339029533056214
JPN,6749,0.3723220413565339
JPN,6760,0.5049957521913049
JPN,6770,0.18196117143337595
JPN,6782,0.33981951907214436
JPN,6783,0.27885711711241057
JPN,6811,0.04109353448849731
JPN,6812,0.18125309843395532
JPN,6822,0.16264973455963588
JPN,6832,0.30666965758343184
JPN,6872,0.3189529091285369
JPN,6899,0.1990022600536009
JPN,6940,0.3868104043490985
JPN,6954,0.45107507063124286
JPN,6992,0.4077188709907199
JPN,6994,0.284271547217633
JPN,6997,0.03403841432596579
JPN,6999,0.268646096364241
JPN,7111,0.027261918065779947
JPN,7119,0.07642285684342368
JPN,7126,0.5619516053254565
JPN,7129,0.550715099220837
JPN,7132,0.23741094751310507
JPN,7133,0.7621031710416435
JPN,7138,0.636477874275811
JPN,7139,0.46498081371512345
JPN,7149,0.13659680315520145
JPN,7161,0.10587875547495805
JPN,7162,0.14100556471822376
JPN,7169,0.19634006031276519
JPN,7188,0.2729991884044291
JPN,7223,0.4193277174757577
JPN,7224,0.2678356748063722
JPN,7234,0.6131545292250363
JPN,7239,0.2983825074914432
JPN,7243,0.5678832561330136
JPN,7244,0.603724617031862
JPN,7245,0.6391415652879403
JPN,7246,0.17330824926190952
JPN,7252,0.17112427151526174
JPN,7264,0.4713712485107142
JPN,7267,0.2650101762039989
JPN,7268,0.32270109868062424
JPN,7269,0.24103771667665538
JPN,7281,0.22701761002314397
JPN,7284,0.6135388089276993
JPN,7361,0.6953285570286717
JPN,7362,0.5960625150889306
JPN,7367,0.7971433576244825
JPN,7368,0.4926683747309941
JPN,7369,0.47913071742922736
JPN,7371,0.5692339900355473
JPN,7372,0.3045772502605918
JPN,7373,0.5388289545535421
JPN,7413,0.3043543500167265
JPN,7415,0.06825893573685811
JPN,7421,0.2683909346566299
JPN,7422,0.07969088608390676
JPN,7423,0.42083920497098665
JPN,7428,0.11601418275872638
JPN,7429,0.1789418828644898
JPN,7431,0.34588122631219304
JPN,7432,0.4705858681351751
JPN,7436,0.08312305558780529
JPN,7439,0.21308189156779306
